,arms,bench,broad,fortyyd,hands,heightinchestotal,tenyd,threecone,twentyss,twentyyd,vertical,weight,year,Player,Pos,injured_pct,position_group
274,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,200,2015,Derron Smith,FS,0.19,DB
275,0.0,10.0,122.0,4.42,0.0,72.0,0.0,0.0,4.15,0.0,39.0,196,2015,Devin Smith,WR,0.56,WR
277,0.0,24.0,121.0,4.74,0.0,77.0,0.0,7.07,4.28,0.0,34.0,271,2015,Preston Smith,DE,0.0,DL
278,0.0,15.0,124.0,4.6,0.0,72.0,0.0,6.97,3.96,0.0,36.5,195,2015,Tye Smith,CB,0.19,DB
279,0.0,23.0,113.0,4.83,0.0,76.0,0.0,7.42,4.66,0.0,29.0,274,2015,Za'Darius Smith,DE,0.0,DL
280,0.0,25.0,120.0,4.88,0.0,72.0,0.0,7.66,0.0,0.0,35.0,236,2015,Martrell Spaight,OLB,0.53,LB
281,0.0,0.0,123.0,4.44,0.0,74.0,0.0,0.0,0.0,0.0,42.0,217,2015,Jaelen Strong,WR,0.25,WR
283,0.0,0.0,118.0,4.5,0.0,72.0,0.0,0.0,0.0,0.0,33.0,189,2015,Damian Swann,CB,0.78,DB
284,0.0,0.0,124.0,4.53,0.0,73.0,0.0,0.0,0.0,0.0,0.0,221,2015,Jaquiski Tartt,SS,0.06,DB
286,0.0,20.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,250,2015,Randall Telfer,TE,0.53,TE
287,0.0,0.0,117.0,4.64,0.0,72.0,0.0,6.99,4.08,0.0,33.5,228,2015,Shaq Thompson,OLB,0.09,LB
297,0.0,20.0,120.0,4.79,0.0,76.0,0.0,0.0,4.57,0.0,35.0,251,2015,Clive Walford,TE,0.03,TE
298,0.0,12.0,125.0,4.46,0.0,78.0,0.0,7.07,4.25,0.0,37.0,238,2015,Darren Waller,WR,0.62,WR
301,0.0,19.0,122.0,4.31,0.0,72.0,0.0,7.06,4.39,0.0,38.0,186,2015,Trae Waynes,CB,0.06,DB
